Date,Numberofsubscribers,increament,Bank
22.05.24,121203,48,CBE
21.05.24,121155,384,CBE
20.05.24,120771,119,CBE
19.05.24,120652,81,CBE
18.05.24,120571,-29,CBE
17.05.24,120600,-72,CBE
16.05.24,120672,-11,CBE
15.05.24,120683,138,CBE
14.05.24,120545,226,CBE
13.05.24,120319,63,CBE
13.05.24,120319,63,CBE
12.05.24,120256,17,CBE
11.05.24,120239,218,CBE
10.05.24,120021,397,CBE
09.05.24,119624,876,CBE
08.05.24,118748,51,CBE
07.05.24,118697,75,CBE
06.05.24,118622,12,CBE
05.05.24,118610,926,CBE
04.05.24,117684,1420,CBE
03.05.24,116264,-114,CBE
02.05.24,116378,245,CBE
01.05.24,116133,240,CBE
30.04.24,115893,1203,CBE
29.04.24,114690,667,CBE
28.04.24,114023,19,CBE
27.04.24,114004,20,CBE
26.04.24,113984,225,CBE
25.04.24,113759,-99,CBE
24.04.24,113858,72,CBE
23.04.24,113786,103,CBE
22.04.24,113683,97,CBE
21.04.24,113586,-152,CBE
20.04.24,113738,11,CBE
19.04.24,113727,98,CBE
18.04.24,113629,76,CBE
17.04.24,113553,25,CBE
16.04.24,113528,140,CBE
15.04.24,113388,223,CBE
14.04.24,113165,106,CBE
13.04.24,113059,12,CBE
12.04.24,113047,83,CBE
11.04.24,112964,-29,CBE
10.04.24,112993,87,CBE
09.04.24,112906,382,CBE
08.04.24,112524,321,CBE
07.04.24,112203,165,CBE
06.04.24,112038,204,CBE
05.04.24,111834,160,CBE
04.04.24,111674,-20,CBE
03.04.24,111694,243,CBE
02.04.24,111451,444,CBE
01.04.24,111007,307,CBE
31.03.24,110700,84,CBE
30.03.24,110616,132,CBE
29.03.24,110484,217,CBE
28.03.24,110267,316,CBE
27.03.24,109951,565,CBE
26.03.24,109386,376,CBE
25.03.24,109010,-52,CBE
24.03.24,109062,88,CBE
23.03.24,108974,200,CBE
22.03.24,108774,177,CBE
21.03.24,108597,312,CBE
20.03.24,108285,405,CBE
19.03.24,107880,486,CBE
18.03.24,107394,926,CBE
17.03.24,106468,1015,CBE
16.03.24,105453,2503,CBE
15.03.24,102950,-14,CBE
14.03.24,102964,-13,CBE
13.03.24,102977,-50,CBE
12.03.24,103027,69,CBE
11.03.24,102958,24,CBE
10.03.24,102934,-21,CBE
09.03.24,102955,68,CBE
08.03.24,102887,27,CBE
07.03.24,102860,34,CBE
06.03.24,102826,146,CBE
05.03.24,102680,70,CBE
04.03.24,102610,144,CBE
03.03.24,102466,-110,CBE
02.03.24,102576,129,CBE
01.03.24,102447,123,CBE
29.02.24,102324,160,CBE
28.02.24,102164,128,CBE
27.02.24,102036,57,CBE
26.02.24,101979,130,CBE
25.02.24,101849,93,CBE
24.02.24,101756,153,CBE
23.02.24,101603,-33,CBE
22.02.24,101636,284,CBE
21.02.24,101352,244,CBE
20.02.24,101108,468,CBE
19.02.24,100640,88,CBE
18.02.24,100552,102,CBE
17.02.24,100450,140,CBE
16.02.24,100310,85,CBE
15.02.24,100225,111,CBE
14.02.24,100114,69,CBE
13.02.24,100045,34,CBE
12.02.24,100011,90,CBE
11.02.24,99921,60,CBE
10.02.24,99861,-5,CBE
09.02.24,99866,112,CBE
08.02.24,99754,-14,CBE
07.02.24,99768,-47,CBE
06.02.24,99815,97,CBE
05.02.24,99718,126,CBE
04.02.24,99592,103,CBE
03.02.24,99489,82,CBE
02.02.24,99407,-3,CBE
01.02.24,99410,-26,CBE
31.01.24,99436,237,CBE
30.01.24,99199,99,CBE
29.01.24,99100,87,CBE
28.01.24,99013,75,CBE
27.01.24,98938,77,CBE
26.01.24,98861,106,CBE
25.01.24,98755,320,CBE
24.01.24,98435,163,CBE
23.01.24,98272,272,CBE
22.01.24,98000,37,CBE
21.01.24,97963,99,CBE
20.01.24,97864,143,CBE
19.01.24,97721,184,CBE
18.01.24,97537,141,CBE
17.01.24,97396,-65,CBE
16.01.24,97461,28,CBE
15.01.24,97433,225,CBE
14.01.24,97208,159,CBE
13.01.24,97049,135,CBE
12.01.24,96914,247,CBE
11.01.24,96667,773,CBE
10.01.24,95894,660,CBE
09.01.24,95234,89,CBE
08.01.24,95145,141,CBE
07.01.24,95004,103,CBE
06.01.24,94901,440,CBE
05.01.24,94461,117,CBE
04.01.24,94344,-43,CBE
03.01.24,94387,-28,CBE
02.01.24,94415,99,CBE
01.01.24,94316,136,CBE
31.12.23,94180,55,CBE
30.12.23,94125,-6,CBE
29.12.23,94131,-18,CBE
28.12.23,94149,65,CBE
27.12.23,94084,126,CBE
26.12.23,93958,74,CBE
23.05.24,161596,-100,BOA
21.05.24,161696,-10,BOA
20.05.24,161706,104,BOA
19.05.24,161602,5,BOA
18.05.24,161597,-6,BOA
17.05.24,161603,4,BOA
16.05.24,161599,65,BOA
15.05.24,161534,47,BOA
14.05.24,161487,115,BOA
13.05.24,161372,108,BOA
13.05.24,161372,108,BOA
12.05.24,161264,2,BOA
11.05.24,161262,7,BOA
10.05.24,161255,-25,BOA
09.05.24,161280,33,BOA
08.05.24,161247,-2,BOA
07.05.24,161249,90,BOA
06.05.24,161159,28,BOA
05.05.24,161131,-72,BOA
04.05.24,161203,32,BOA
03.05.24,161171,52,BOA
02.05.24,161119,6,BOA
01.05.24,161113,-113,BOA
30.04.24,161226,-27,BOA
29.04.24,161253,-74,BOA
28.04.24,161327,-63,BOA
27.04.24,161390,-39,BOA
26.04.24,161429,-90,BOA
25.04.24,161519,-60,BOA
24.04.24,161579,-104,BOA
23.04.24,161683,-14,BOA
22.04.24,161697,-50,BOA
21.04.24,161747,-61,BOA
20.04.24,161808,-57,BOA
19.04.24,161865,-111,BOA
18.04.24,161976,-96,BOA
17.04.24,162072,-101,BOA
16.04.24,162173,9,BOA
15.04.24,162164,-8,BOA
14.04.24,162172,-49,BOA
13.04.24,162221,-81,BOA
12.04.24,162302,-101,BOA
11.04.24,162403,-32,BOA
10.04.24,162435,-93,BOA
09.04.24,162528,-75,BOA
08.04.24,162603,19,BOA
07.04.24,162584,-39,BOA
06.04.24,162623,-32,BOA
05.04.24,162655,-73,BOA
04.04.24,162728,-46,BOA
03.04.24,162774,-59,BOA
02.04.24,162833,-42,BOA
01.04.24,162875,-72,BOA
31.03.24,162947,-100,BOA
30.03.24,163047,-67,BOA
29.03.24,163114,-28,BOA
28.03.24,163142,-27,BOA
27.03.24,163169,-70,BOA
26.03.24,163239,11,BOA
25.03.24,163228,23,BOA
24.03.24,163205,-75,BOA
23.03.24,163280,6,BOA
22.03.24,163274,-83,BOA
21.03.24,163357,-14,BOA
20.03.24,163371,-16,BOA
19.03.24,163387,-61,BOA
18.03.24,163448,43,BOA
17.03.24,163405,19,BOA
16.03.24,163386,19,BOA
15.03.24,163367,-110,BOA
14.03.24,163477,-37,BOA
13.03.24,163514,-50,BOA
12.03.24,163564,105,BOA
11.03.24,163459,-22,BOA
10.03.24,163481,-68,BOA
09.03.24,163549,-104,BOA
08.03.24,163653,-145,BOA
07.03.24,163798,-164,BOA
06.03.24,163962,-86,BOA
05.03.24,164048,-30,BOA
04.03.24,164078,-3,BOA
03.03.24,164081,-54,BOA
02.03.24,164135,-78,BOA
01.03.24,164213,-91,BOA
29.02.24,164304,-134,BOA
28.02.24,164438,-123,BOA
27.02.24,164561,-59,BOA
26.02.24,164620,-44,BOA
25.02.24,164664,-67,BOA
24.02.24,164731,-78,BOA
23.02.24,164809,-130,BOA
22.02.24,164939,-66,BOA
21.02.24,165005,-115,BOA
20.02.24,165120,2,BOA
19.02.24,165118,-135,BOA
18.02.24,165253,-37,BOA
17.02.24,165290,-63,BOA
16.02.24,165353,-159,BOA
15.02.24,165512,-77,BOA
14.02.24,165589,-131,BOA
13.02.24,165720,33,BOA
12.02.24,165687,22,BOA
11.02.24,165665,-130,BOA
10.02.24,165795,-114,BOA
09.02.24,165909,-128,BOA
08.02.24,166037,47,BOA
07.02.24,165990,-64,BOA
06.02.24,166054,38,BOA
05.02.24,166016,-8,BOA
04.02.24,166024,-21,BOA
03.02.24,166045,-56,BOA
02.02.24,166101,-136,BOA
01.02.24,166237,-63,BOA
31.01.24,166300,-186,BOA
30.01.24,166486,22,BOA
29.01.24,166464,-5,BOA
28.01.24,166469,-16,BOA
27.01.24,166485,-21,BOA
26.01.24,166506,-133,BOA
25.01.24,166639,53,BOA
24.01.24,166586,-25,BOA
23.01.24,166611,29,BOA
22.01.24,166582,-154,BOA
21.01.24,166736,-96,BOA
20.01.24,166832,-75,BOA
19.01.24,166907,-120,BOA
18.01.24,167027,-116,BOA
17.01.24,167143,240,BOA
16.01.24,166903,669,BOA
15.01.24,166234,82,BOA
14.01.24,166152,2,BOA
13.01.24,166150,126,BOA
12.01.24,166024,568,BOA
11.01.24,165456,257,BOA
10.01.24,165199,55,BOA
09.01.24,165144,268,BOA
08.01.24,164876,-20,BOA
07.01.24,164896,-117,BOA
06.01.24,165013,-158,BOA
05.01.24,165171,-150,BOA
04.01.24,165321,-24,BOA
03.01.24,165345,13,BOA
02.01.24,165332,584,BOA
01.01.24,164748,-42,BOA
31.12.23,164790,-135,BOA
30.12.23,164925,-222,BOA
29.12.23,165147,-230,BOA
28.12.23,165377,-76,BOA
27.12.23,165453,81,BOA
26.12.23,165372,900,BOA
